dword	text	END
54	Пятый браслет, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Браслета.	
55	Первый браслет, созданный известным мастером для Баал-Хамона. Является частью набора - два Браслета Баал-Хамона и Посох Баал-Хамона.	
56	Второй браслет, созданный известным мастером для Баал-Хамона. Является частью набора - два Браслета Баал-Хамона и Посох Баал-Хамона.	
57	Первый браслет, созданный известным мастером для Баал-Хамона. Является частью набора - два Могущественных Браслета Баал-Хамона и Клинок Баала.	
58	Второй браслет, созданный известным мастером для Баал-Хамона. Является частью набора - два Могущественных Браслета Баал-Хамона и Клинок Баала.	
59	Третий браслет, созданный известным мастером для Баал-Хамона. Является частью набора - два Могущественных Браслета Баал-Хамона и Клинок Баала.	
60	Первое украшение созданное из клыков Древнего Ратозверя.	
61	Второе украшение созданное из клыков Древнего Ратозверя.	
62	Третье украшение созданное из клыков Древнего Ратозверя.	
63	Первое украшение содержащее око Яростного Трицератопса.	
64	Второе украшение содержащее око Яростного Трицератопса.	
65	Третье украшение содержащее око Яростного Трицератопса.	
66	Первое украшение содержащее в себе защитную магию.	
67	Второе украшение содержащее в себе защитную магию.	
68	Третье украшение содержащее в себе защитную магию.	
69	Первое украшение содержащее в себе душу расхитителя гробниц.	
70	Второе украшение содержащее в себе душу расхитителя гробниц.	
71	Третье украшение содержащее в себе душу расхитителя гробниц.	
72	Первое украшение содержащее в себе душу проклятого мертвеца.	
73	Второе украшение содержащее в себе душу проклятого мертвеца.	
74	Третье украшение содержащее в себе душу проклятого мертвеца.	
75	Первое украшение содержащее в себе сущность злобного демона.	
76	Второе украшение содержащее в себе сущность злобного демона.	
77	Третье украшение содержащее в себе сущность злобного демона.	
78	Первое украшение созданное из клыков Древнего Ратозверя.	
79	Второе украшение созданное из клыков Древнего Ратозверя.	
80	Третье украшение созданное из клыков Древнего Ратозверя.	
81	Первое украшение содержащее око Яростного Трицератопса.	
82	Второе украшение содержащее око Яростного Трицератопса.	
83	Третье украшение содержащее око Яростного Трицератопса.	
84	Первое украшение содержащее в себе защитную магию.	
85	Второе украшение содержащее в себе защитную магию.	
86	Третье украшение содержащее в себе защитную магию.	
87	Первое украшение содержащее в себе душу расхитителя гробниц.	
88	Второе украшение содержащее в себе душу расхитителя гробниц.	
89	Третье украшение содержащее в себе душу расхитителя гробниц.	
90	Первое украшение содержащее в себе душу проклятого мертвеца.	
91	Второе украшение содержащее в себе душу проклятого мертвеца.	
92	Третье украшение содержащее в себе душу проклятого мертвеца.	
93	Первое украшение содержащее в себе сущность злобного демона.	
94	Второе украшение содержащее в себе сущность злобного демона.	
95	Третье украшение содержащее в себе сущность злобного демона.	
96	Первое украшение созданное из клыков Древнего Ратозверя.	
97	Второе украшение созданное из клыков Древнего Ратозверя.	
98	Третье украшение созданное из клыков Древнего Ратозверя.	
99	Первое украшение содержащее око Яростного Трицератопса.	
100	Второе украшение содержащее око Яростного Трицератопса.	
101	Третье украшение содержащее око Яростного Трицератопса.	
102	Первое украшение содержащее в себе защитную магию.	
103	Второе украшение содержащее в себе защитную магию.	
104	Третье украшение содержащее в себе защитную магию.	
105	Первое украшение содержащее в себе душу расхитителя гробниц.	
106	Второе украшение содержащее в себе душу расхитителя гробниц.	
107	Третье украшение содержащее в себе душу расхитителя гробниц.	
108	Первое украшение содержащее в себе душу проклятого мертвеца.	
109	Второе украшение содержащее в себе душу проклятого мертвеца.	
110	Третье украшение содержащее в себе душу проклятого мертвеца.	
111	Первое украшение содержащее в себе сущность злобного демона.	
112	Второе украшение содержащее в себе сущность злобного демона.	
113	Третье украшение содержащее в себе сущность злобного демона.	
114	Огнестойкое Кольцо Федерации.	
115	Огнестойкое Кольцо Федерации.	
116	Огнестойкое Кольцо Федерации.	
117	Огнестойкое Кольцо Федерации.	
118	Огнестойкое Кольцо Федерации.	
119	Огнестойкое Кольцо Федерации.	
120	Огнестойкое Кольцо Федерации.	
121	Водостойкое Кольцо Федерации.	
122	Водостойкое Кольцо Федерации.	
123	Водостойкое Кольцо Федерации.	
124	Водостойкое Кольцо Федерации.	
125	Водостойкое Кольцо Федерации.	
126	Водостойкое Кольцо Федерации.	
127	Водостойкое Кольцо Федерации.	
128	Землестойкое Кольцо Федерации.	
129	Землестойкое Кольцо Федерации.	
130	Землестойкое Кольцо Федерации.	
131	Землестойкое Кольцо Федерации.	
132	Землестойкое Кольцо Федерации.	
133	Землестойкое Кольцо Федерации.	
134	Землестойкое Кольцо Федерации.	
135	Ветростойкое Кольцо Федерации.	
136	Ветростойкое Кольцо Федерации.	
137	Ветростойкое Кольцо Федерации.	
138	Ветростойкое Кольцо Федерации.	
139	Ветростойкое Кольцо Федерации.	
140	Ветростойкое Кольцо Федерации.	
141	Ветростойкое Кольцо Федерации.	
142	Ветро- и Землестойкое Кольцо Федерации.	
143	Ветро- и Землестойкое Кольцо Федерации.	
144	Ветро- и Землестойкое Кольцо Федерации.	
145	Ветро- и Землестойкое Кольцо Федерации.	
146	Ветро- и Землестойкое Кольцо Федерации.	
147	Ветро- и Землестойкое Кольцо Федерации.	
148	Ветро- и Землестойкое Кольцо Федерации.	
149	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
150	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
151	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
152	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
153	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
154	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
155	Ветростойкое Кольцо Федерации. Максимально увеличивает SP.	
156	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
157	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
158	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
159	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
160	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
161	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
162	Огнестойкое Кольцо Федерации. Снижает затраты FP на использование Умений и Сил	
163	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
164	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
165	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
166	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
167	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
168	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
169	Водо- и Землестойкое Кольцо Федерации. Увеличивает уровень Умений	
170	Стихийное Кольцо Федерации. Увеличивает количество SP	
171	Стихийное Кольцо Федерации. Увеличивает количество SP	
172	Стихийное Кольцо Федерации. Увеличивает количество SP	
173	Стихийное Кольцо Федерации. Увеличивает количество SP	
174	Стихийное Кольцо Федерации. Увеличивает количество SP	
175	Стихийное Кольцо Федерации. Увеличивает количество SP	
176	Стихийное Кольцо Федерации. Увеличивает количество SP	
177	Стихийное Кольцо Федерации. Увеличивает количество SP	
178	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
179	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
180	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
181	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
182	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
183	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
184	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
185	Стихийное Кольцо Федерации. Увеличивает силу атаки и способность уклонения от атак	
186	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
187	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
188	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
189	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
190	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
191	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
192	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
193	Стихийное Кольцо Федерации. Увеличивает силу атаки и защиту	
194	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
195	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
196	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
197	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
198	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
199	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
200	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
201	Стихийное Кольцо Федерации. Увеличивает силу атаки и повышает уровень Умений	
202	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
203	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
204	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
205	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
206	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
207	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
208	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
209	Стихийное Кольцо Федерации. Увеличивает защиту и способность уклонения от атак	
210	Кольцо Защиты Палмас Омега, созданное для комплекта тяжелой брони, разработанной P.A.L.M.A.S.	
211	Кольцо Защиты Палмас Эпсилон, созданное для комплекта легкой брони, разработанной P.A.L.M.A.S.	
212	Кольцо Защиты Палмас Омикрон, созданное для комплекта магической брони, разработанной P.A.L.M.A.S.	
213	Кольцо: только Федерация	
214	Кольцо: только Федерация	
215	Кольцо: только Федерация	
216	Кольцо: только Федерация	
217	Кольцо: только Федерация	
218	Кольцо: только Федерация	
219	Кольцо: только Федерация	
220	Кольцо: только Федерация	
221	Кольцо: только Федерация	
222	Кольцо: только Федерация	
223	Кольцо: только Федерация	
224	Кольцо: только Федерация	
225	Кольцо: только Федерация	
226	Кольцо: только Федерация	
227	Кольцо: только Федерация	
228	Кольцо: только Федерация	
229	Кольцо: только Федерация	
230	Кольцо: только Федерация	
231	Кольцо: только Федерация	
232	Кольцо: только Федерация	
233	Кольцо: только Федерация	
234	Кольцо: только Федерация	
235	Кольцо: только Федерация	
236	Кольцо: только Федерация	
237	Кольцо: только Федерация	
238	Кольцо: только Федерация	
239	Кольцо: только Федерация	
240	Кольцо: только Федерация	
241	Кольцо: только Федерация	
242	Кольцо: только Федерация	
243	Кольцо: только Федерация	
244	Кольцо: только Федерация	
245	Кольцо: только Федерация	
246	Кольцо: только Федерация	
247	Кольцо: только Федерация	
248	Кольцо: только Федерация	
249	Кольцо: только Федерация	
250	Кольцо: только Федерация	
251	Кольцо: только Федерация	
252	Кольцо: только Федерация	
253	Кольцо: только Федерация	
254	Кольцо: только Федерация	
255	Кольцо: только Федерация	
256	Кольцо: только Федерация	
257	Кольцо: только Федерация	
258	Кольцо: только Федерация	
259	Кольцо: только Федерация	
260	Кольцо: только Федерация	
261	Кольцо: только Федерация	
262	Кольцо: только Федерация	
263	Кольцо: только Федерация	
264	Кольцо: только Федерация	
265	Кольцо: только Федерация	
266	Кольцо: только Федерация	
267	Кольцо: только Федерация	
268	Кольцо: только Федерация	
269	Кольцо: только Федерация	
270	Кольцо: только Федерация	
271	Кольцо: только Федерация	
272	Кольцо: только Федерация	
273	Кольцо: только Федерация	
274	Кольцо: только Федерация	
275	Кольцо: только Федерация	
276	Кольцо: только Федерация	
277	Кольцо: только Федерация	
278	Кольцо: только Федерация	
279	Кольцо: только Федерация	
280	Кольцо: только Федерация	
281	Кольцо: только Федерация	
282	Кольцо: только Федерация	
283	Кольцо: только Федерация	
284	Кольцо: только Федерация	
285	Кольцо: только Федерация	
286	Кольцо: только Федерация	
287	Кольцо: только Федерация	
288	Кольцо: только Федерация	
289	Кольцо: только Федерация	
290	Кольцо: только Федерация	
291	Кольцо: только Федерация	
292	Кольцо: только Федерация	
293	Кольцо: только Федерация	
294	Кольцо: только Федерация	
295	Кольцо: только Федерация	
296	Кольцо: только Федерация	
297	Кольцо: только Федерация	
298	Кольцо: только Федерация	
299	Кольцо: только Федерация	
300	Кольцо: только Федерация	
301	Кольцо: только Федерация	
302	Кольцо: только Федерация	
303	Кольцо: только Федерация	
304	Кольцо: только Федерация	
305	Кольцо: только Федерация	
306	Кольцо: только Федерация	
307	Кольцо: только Федерация	
308	Кольцо: только Федерация	
309	Кольцо: только Федерация	
310	Кольцо: только Федерация	
311	Кольцо: только Федерация	
312	Кольцо: только Федерация	
313	Кольцо: только Федерация	
314	Кольцо: только Федерация	
315	Кольцо: только Федерация	
316	Кольцо: только Федерация	
317	Кольцо: только Федерация	
318	Кольцо: только Федерация	
319	Кольцо: только Федерация	
320	Кольцо: только Федерация	
321	Кольцо: только Федерация	
322	Кольцо: только Федерация	
323	Кольцо: только Федерация	
324	Кольцо: только Федерация	
325	Кольцо: только Федерация	
326	Кольцо: только Федерация	
327	Кольцо: только Федерация	
328	Кольцо: только Федерация	
329	Кольцо: только Федерация	
330	Кольцо: только Федерация	
331	Кольцо: только Федерация	
332	Кольцо: только Федерация	
333	Кольцо: только Федерация	
334	Кольцо: только Федерация	
335	Кольцо: только Федерация	
336	Кольцо: только Федерация	
337	Кольцо: только Федерация	
338	Кольцо: только Федерация	
339	Кольцо: только Федерация	
340	Кольцо: только Федерация	
341	Кольцо: только Федерация	
342	Кольцо: только Федерация	
343	Кольцо: только Федерация	
344	Кольцо: только Федерация	
345	Кольцо: только Федерация	
346	Кольцо: только Федерация	
347	Кольцо: только Федерация	
348	Кольцо: только Федерация	
349	Кольцо: только Федерация	
350	Кольцо: только Федерация	
351	Кольцо: только Федерация	
352	Кольцо: только Федерация	
353	Кольцо: только Федерация	
354	Кольцо: только Федерация	
355	Кольцо: только Федерация	
356	Кольцо: только Федерация	
357	Кольцо: только Федерация	
358	Кольцо: только Федерация	
359	Кольцо: только Федерация	
360	Кольцо: только Федерация	
361	Кольцо: только Федерация	
362	Кольцо: только Федерация	
363	Кольцо: только Федерация	
364	Кольцо: только Федерация	
365	Кольцо: только Федерация	
366	Кольцо: только Федерация	
367	Кольцо: только Федерация	
368	Кольцо: только Федерация	
369	Кольцо: только Федерация	
370	Огнестойкий Перстень Альянса.	
371	Огнестойкий Перстень Альянса.	
372	Огнестойкий Перстень Альянса.	
373	Огнестойкий Перстень Альянса.	
374	Огнестойкий Перстень Альянса.	
375	Огнестойкий Перстень Альянса.	
376	Огнестойкий Перстень Альянса.	
377	Водостойкий Перстень Альянса.	
378	Водостойкий Перстень Альянса.	
379	Водостойкий Перстень Альянса.	
380	Водостойкий Перстень Альянса.	
381	Водостойкий Перстень Альянса.	
382	Водостойкий Перстень Альянса.	
383	Водостойкий Перстень Альянса.	
384	Землестойкий Перстень Альянса.	
385	Землестойкий Перстень Альянса.	
386	Землестойкий Перстень Альянса.	
387	Землестойкий Перстень Альянса.	
388	Землестойкий Перстень Альянса.	
389	Землестойкий Перстень Альянса.	
390	Землестойкий Перстень Альянса.	
391	Ветростойкий Перстень Альянса.	
392	Ветростойкий Перстень Альянса.	
393	Ветростойкий Перстень Альянса.	
394	Ветростойкий Перстень Альянса.	
395	Ветростойкий Перстень Альянса.	
396	Ветростойкий Перстень Альянса.	
397	Ветростойкий Перстень Альянса.	
398	Водо- и Землестойкий Перстень Альянса.	
399	Водо- и Землестойкий Перстень Альянса.	
400	Водо- и Землестойкий Перстень Альянса.	
401	Водо- и Землестойкий Перстень Альянса.	
402	Водо- и Землестойкий Перстень Альянса.	
403	Водо- и Землестойкий Перстень Альянса.	
404	Водо- и Землестойкий Перстень Альянса.	
405	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
406	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
407	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
408	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
409	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
410	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
411	Землестойкий Перстень Альянса. Максимально увеличивает ST.	
412	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
413	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
414	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
415	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
416	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
417	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
418	Водостойкий Перстень Альянса. Снижает затраты FP на использование Умений и Сил	
419	Ветростойкий Перстень Альянса. Увеличивает меткость	
420	Ветростойкий Перстень Альянса. Увеличивает меткость	
421	Ветростойкий Перстень Альянса. Увеличивает меткость	
422	Ветростойкий Перстень Альянса. Увеличивает меткость	
423	Ветростойкий Перстень Альянса. Увеличивает меткость	
424	Ветростойкий Перстень Альянса. Увеличивает меткость	
425	Ветростойкий Перстень Альянса. Увеличивает меткость	
426	Огнестойкий Перстень Альянса. Увеличивает атаку.	
427	Огнестойкий Перстень Альянса. Увеличивает атаку.	
428	Огнестойкий Перстень Альянса. Увеличивает атаку.	
429	Огнестойкий Перстень Альянса. Увеличивает атаку.	
430	Огнестойкий Перстень Альянса. Увеличивает атаку.	
431	Огнестойкий Перстень Альянса. Увеличивает атаку.	
432	Огнестойкий Перстень Альянса. Увеличивает атаку.	
433	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
434	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
435	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
436	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
437	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
438	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
439	Огне- и Ветростойкий Перстень Альянса. Увеличивает все атакующие способности.	
440	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
441	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
442	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
443	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
444	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
445	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
446	Водо- и Землестойкий Перстень Альянса. Увеличивает уровень Умений	
447	Стихийный Перстень Альянса	
448	Стихийный Перстень Альянса	
449	Стихийный Перстень Альянса	
450	Стихийный Перстень Альянса	
451	Стихийный Перстень Альянса	
452	Стихийный Перстень Альянса	
453	Стихийный Перстень Альянса	
454	Стихийный Перстень Альянса	
455	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
456	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
457	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
458	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
459	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
460	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
461	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
462	Стихийный Перстень Альянса. Увеличивает способность уклонения от атак	
463	Стихийный Перстень Альянса. Увеличивает силу атаки	
464	Стихийный Перстень Альянса. Увеличивает силу атаки	
465	Стихийный Перстень Альянса. Увеличивает силу атаки	
466	Стихийный Перстень Альянса. Увеличивает силу атаки	
467	Стихийный Перстень Альянса. Увеличивает силу атаки	
468	Стихийный Перстень Альянса. Увеличивает силу атаки	
469	Стихийный Перстень Альянса. Увеличивает силу атаки	
470	Стихийный Перстень Альянса. Увеличивает силу атаки	
471	Стихийный Перстень Альянса. Повышает уровень Умений	
472	Стихийный Перстень Альянса. Повышает уровень Умений	
473	Стихийный Перстень Альянса. Повышает уровень Умений	
474	Стихийный Перстень Альянса. Повышает уровень Умений	
475	Стихийный Перстень Альянса. Повышает уровень Умений	
476	Стихийный Перстень Альянса. Повышает уровень Умений	
477	Стихийный Перстень Альянса. Повышает уровень Умений	
478	Стихийный Перстень Альянса. Повышает уровень Умений	
479	Стихийный Перстень Альянса. Увеличивает защиту	
480	Стихийный Перстень Альянса. Увеличивает защиту	
481	Стихийный Перстень Альянса. Увеличивает защиту	
482	Стихийный Перстень Альянса. Увеличивает защиту	
483	Стихийный Перстень Альянса. Увеличивает защиту	
484	Стихийный Перстень Альянса. Увеличивает защиту	
485	Стихийный Перстень Альянса. Увеличивает защиту	
486	Перстень: только Альянс	
487	Перстень: только Альянс	
488	Перстень: только Альянс	
489	Перстень: только Альянс	
